prompt_key,prompt_class,split,n_tokens
harmful-train-124,harmful,train,50
harmful-train-125,harmful,train,43
harmful-train-126,harmful,train,55
harmful-train-127,harmful,train,48
harmful-holdout-000,harmful,holdout,45
harmful-holdout-001,harmful,holdout,46
harmful-holdout-002,harmful,holdout,49
harmful-holdout-003,harmful,holdout,46
harmful-holdout-004,harmful,holdout,53
harmful-holdout-005,harmful,holdout,47
harmful-holdout-006,harmful,holdout,53
harmful-holdout-007,harmful,holdout,49
harmful-holdout-008,harmful,holdout,47
harmful-holdout-009,harmful,holdout,47
harmful-holdout-010,harmful,holdout,45
harmful-holdout-011,harmful,holdout,48
harmful-holdout-012,harmful,holdout,42
harmful-holdout-013,harmful,holdout,49
harmful-holdout-014,harmful,holdout,52
harmful-holdout-015,harmful,holdout,45
harmful-holdout-016,harmful,holdout,44
harmful-holdout-017,harmful,holdout,47
harmful-holdout-018,harmful,holdout,50
harmful-holdout-019,harmful,holdout,47
harmful-holdout-020,harmful,holdout,44
harmful-holdout-021,harmful,holdout,43
harmful-holdout-022,harmful,holdout,44
harmful-holdout-023,harmful,holdout,46
harmful-holdout-024,harmful,holdout,49
harmful-holdout-025,harmful,holdout,43
harmful-holdout-026,harmful,holdout,51
harmful-holdout-027,harmful,holdout,48
harmful-holdout-028,harmful,holdout,47
harmful-holdout-029,harmful,holdout,46
harmful-holdout-030,harmful,holdout,47
harmful-holdout-031,harmful,holdout,46
harmless-train-000,harmless,train,46
harmless-train-001,harmless,train,48
harmless-train-002,harmless,train,48
harmless-train-003,harmless,train,52
harmless-train-004,harmless,train,46
harmless-train-005,harmless,train,48
harmless-train-006,harmless,train,44
harmless-train-007,harmless,train,50
harmless-train-008,harmless,train,56
harmless-train-009,harmless,train,56
harmless-train-010,harmless,train,57
harmless-train-011,harmless,train,51
harmless-train-012,harmless,train,55
harmless-train-013,harmless,train,48
harmless-train-014,harmless,train,49
harmless-train-015,harmless,train,51
harmless-train-016,harmless,train,55
harmless-train-017,harmless,train,47
harmless-train-018,harmless,train,50
harmless-train-019,harmless,train,50
harmless-train-020,harmless,train,55
harmless-train-021,harmless,train,55
harmless-train-022,harmless,train,47
harmless-train-023,harmless,train,52
harmless-train-024,harmless,train,63
harmless-train-025,harmless,train,52
harmless-train-026,harmless,train,49
harmless-train-027,harmless,train,46
harmless-train-028,harmless,train,53
harmless-train-029,harmless,train,48
harmless-train-030,harmless,train,53
harmless-train-031,harmless,train,49
harmless-train-032,harmless,train,54
harmless-train-033,harmless,train,50
harmless-train-034,harmless,train,48
harmless-train-035,harmless,train,47
harmless-train-036,harmless,train,48
harmless-train-037,harmless,train,50
harmless-train-038,harmless,train,53
harmless-train-039,harmless,train,51
harmless-train-040,harmless,train,54
harmless-train-041,harmless,train,57
harmless-train-042,harmless,train,48
harmless-train-043,harmless,train,51
harmless-train-044,harmless,train,50
harmless-train-045,harmless,train,54
harmless-train-046,harmless,train,50
harmless-train-047,harmless,train,54
harmless-train-048,harmless,train,56
harmless-train-049,harmless,train,49
harmless-train-050,harmless,train,50
harmless-train-051,harmless,train,50
harmless-train-052,harmless,train,51
harmless-train-053,harmless,train,53
harmless-train-054,harmless,train,50
harmless-train-055,harmless,train,50
harmless-train-056,harmless,train,52
harmless-train-057,harmless,train,54
harmless-train-058,harmless,train,47
harmless-train-059,harmless,train,46
harmless-train-060,harmless,train,55
harmless-train-061,harmless,train,46
harmless-train-062,harmless,train,46
harmless-train-063,harmless,train,50
harmless-train-064,harmless,train,71
harmless-train-065,harmless,train,54
harmless-train-066,harmless,train,51
harmless-train-067,harmless,train,47
harmless-train-068,harmless,train,49
harmless-train-069,harmless,train,44
harmless-train-070,harmless,train,59
harmless-train-071,harmless,train,45
harmless-train-072,harmless,train,53
harmless-train-073,harmless,train,52
harmless-train-074,harmless,train,46
harmless-train-075,harmless,train,46
harmless-train-076,harmless,train,49
harmless-train-077,harmless,train,47
harmless-train-078,harmless,train,49
harmless-train-079,harmless,train,47
harmless-train-080,harmless,train,49
harmless-train-081,harmless,train,46
harmless-train-082,harmless,train,48
harmless-train-083,harmless,train,50
harmless-train-084,harmless,train,47
harmless-train-085,harmless,train,49
harmless-train-086,harmless,train,44
harmless-train-087,harmless,train,44
harmless-train-088,harmless,train,44
harmless-train-089,harmless,train,50
harmless-train-090,harmless,train,50
harmless-train-091,harmless,train,47
harmless-train-092,harmless,train,45
harmless-train-093,harmless,train,46
harmless-train-094,harmless,train,51
harmless-train-095,harmless,train,47
harmless-train-096,harmless,train,71
harmless-train-097,harmless,train,50
harmless-train-098,harmless,train,55
harmless-train-099,harmless,train,51
harmless-train-100,harmless,train,58
harmless-train-101,harmless,train,41
harmless-train-102,harmless,train,49
harmless-train-103,harmless,train,46
harmless-train-104,harmless,train,52
harmless-train-105,harmless,train,50
harmless-train-106,harmless,train,49
harmless-train-107,harmless,train,51
harmless-train-108,harmless,train,47
harmless-train-109,harmless,train,52
harmless-train-110,harmless,train,47
harmless-train-111,harmless,train,53
harmless-train-112,harmless,train,49
harmless-train-113,harmless,train,44
harmless-train-114,harmless,train,46
harmless-train-115,harmless,train,46
harmless-train-116,harmless,train,53
harmless-train-117,harmless,train,50
harmless-train-118,harmless,train,53
harmless-train-119,harmless,train,54
harmless-train-120,harmless,train,51
harmless-train-121,harmless,train,61
harmless-train-122,harmless,train,53
harmless-train-123,harmless,train,50
harmless-train-124,harmless,train,53
harmless-train-125,harmless,train,45
harmless-train-126,harmless,train,51
harmless-train-127,harmless,train,43
harmless-holdout-000,harmless,holdout,43
harmless-holdout-001,harmless,holdout,47
harmless-holdout-002,harmless,holdout,51
harmless-holdout-003,harmless,holdout,47
harmless-holdout-004,harmless,holdout,62
harmless-holdout-005,harmless,holdout,52
harmless-holdout-006,harmless,holdout,52
harmless-holdout-007,harmless,holdout,48
harmless-holdout-008,harmless,holdout,51
harmless-holdout-009,harmless,holdout,47
harmless-holdout-010,harmless,holdout,44
harmless-holdout-011,harmless,holdout,46
harmless-holdout-012,harmless,holdout,42
harmless-holdout-013,harmless,holdout,47
harmless-holdout-014,harmless,holdout,51
harmless-holdout-015,harmless,holdout,46
harmless-holdout-016,harmless,holdout,44
harmless-holdout-017,harmless,holdout,50
harmless-holdout-018,harmless,holdout,54
harmless-holdout-019,harmless,holdout,47
harmless-holdout-020,harmless,holdout,45
harmless-holdout-021,harmless,holdout,44
harmless-holdout-022,harmless,holdout,46
harmless-holdout-023,harmless,holdout,46
harmless-holdout-024,harmless,holdout,51
harmless-holdout-025,harmless,holdout,46
harmless-holdout-026,harmless,holdout,49
harmless-holdout-027,harmless,holdout,51
harmless-holdout-028,harmless,holdout,47
harmless-holdout-029,harmless,holdout,53
harmless-holdout-030,harmless,holdout,47
harmless-holdout-031,harmless,holdout,48
