value,probe_id,role,complete,c3_dropped,mass_min,eligible
privacy,PT2-privacy-C1,self,True,False,0.8177,True
privacy,PT2-privacy-C1,sibling,True,False,0.789,True
privacy,PT2-privacy-C2,boss,True,False,0.1929,False
privacy,PT2-privacy-C2,coworker,True,False,0.2142,True
privacy,PT2-privacy-C2,friend,True,False,0.1582,False
privacy,PT2-privacy-C3,boss,True,False,0.6999,True
privacy,PT2-privacy-C3,coworker,True,False,0.7479,True
privacy,PT2-privacy-C4,boss,True,False,0.5189,True
privacy,PT2-privacy-C4,coworker,True,False,0.6219,True
privacy,PT2-privacy-C5,boss,True,False,0.0175,False
privacy,PT2-privacy-C5,coworker,True,False,0.0159,False
privacy,PT2-privacy-C5,friend,True,False,0.0078,False
sanctity,PT2-sanctity-C1,coworker,True,False,0.7161,True
sanctity,PT2-sanctity-C1,friend,True,False,0.7649,True
sanctity,PT2-sanctity-C2,coworker,True,False,0.6139,True
sanctity,PT2-sanctity-C2,friend,True,False,0.6206,True
sanctity,PT2-sanctity-C3,coworker,True,False,0.5566,True
sanctity,PT2-sanctity-C3,friend,True,False,0.6085,True
sanctity,PT2-sanctity-C4,coworker,True,False,0.2655,True
sanctity,PT2-sanctity-C4,friend,True,False,0.2421,True
sanctity,PT2-sanctity-C5,coworker,True,False,0.5576,True
sanctity,PT2-sanctity-C5,friend,True,False,0.502,True
tradition,PT2-tradition-C1,coworker,True,False,0.5275,True
tradition,PT2-tradition-C1,friend,True,False,0.5952,True
tradition,PT2-tradition-C2,boss,True,False,0.3179,True
tradition,PT2-tradition-C2,coworker,True,False,0.3389,True
tradition,PT2-tradition-C3,friend,True,False,0.2347,True
tradition,PT2-tradition-C3,sibling,True,False,0.2892,True
tradition,PT2-tradition-C4,coworker,True,False,0.4511,True
tradition,PT2-tradition-C4,friend,True,False,0.4585,True
tradition,PT2-tradition-C5,coworker,True,False,0.2469,True
tradition,PT2-tradition-C5,friend,True,False,0.1681,False
