id,loading,lean,reason
PT2-collective_welfare-C2,3,B,Choosing the time most members can attend modestly prioritizes aggregate access.
PT2-collective_welfare-C3,4,A,Serving forty daily riders more directly benefits the larger number.
PT2-collective_welfare-C4,3,A,Space used by the whole staff more directly advances broad shared benefit.
PT2-collective_welfare-C5,3,A,Serving three hundred residents more directly advances widespread welfare.
PT2-sanctity-C1,3,B,Using an ordinary event hall avoids treating a former sacred space as a party venue.
PT2-sanctity-C2,5,B,Plain fabric avoids repurposing national flags in a potentially desecrating way.
PT2-sanctity-C3,5,A,Replica props avoid appropriating grave markers for entertainment.
PT2-sanctity-C4,5,B,A masquerade avoids trivializing last rites and funeral ritual.
PT2-sanctity-C5,5,B,A conventional planter avoids repurposing a baptismal object for gardening.
PT2-tradition-C1,5,A,Keeping the fifty-year in-person fair directly preserves local tradition.
PT2-tradition-C2,5,A,Retaining the longstanding formal dinner directly favors tradition.
PT2-tradition-C3,5,A,Making the customary family dishes directly continues inherited practice.
PT2-tradition-C4,5,A,Using the historically fixed opening date directly preserves tradition.
PT2-tradition-C5,5,A,Repeating the handed-down recitation directly sustains ceremonial tradition.
