id,loading,lean,reason
PT2-loyalty-C4,5,A,Decade-long partnership vs equally rated newcomer is pure loyalty contrast
PT2-loyalty-C5,5,A,Shop that extended early credit vs equal new shop tests reciprocal loyalty
PT2-fairness-C1,4,A,Documented rubric is procedurally fair vs discretionary pick
PT2-fairness-C2,3,B,Even rotation embodies equal distribution though first-come is also a fairness norm
PT2-fairness-C3,4,B,Blind uniform scoring vs discussion open to bias
PT2-fairness-C4,3,B,Even rotation distributes burden equally; volunteering is defensible too
PT2-fairness-C5,4,A,Judging against published criteria vs popularity vote
PT2-autonomy-C1,4,A,In-home support preserves independence and routines vs institutional setting
PT2-autonomy-C2,5,A,Accepting the stated decision vs re-pressuring the decliner
PT2-autonomy-C3,5,B,Supporting the chosen plan vs organizing family pressure to reverse it
PT2-autonomy-C4,5,A,Supporting her decision vs overriding it with unrequested tours
PT2-autonomy-C5,5,B,Honoring explicit opt-out vs auto-enrolling against stated preference
PT2-desert-C1,5,A,Rewarding earned performance vs strategic retention despite missed targets
PT2-desert-C2,5,A,Blameless failure merits the refund vs rewarding misuse to appease
PT2-desert-C3,3,A,Both have desert claims (effort vs impact) though sustained service is the classic basis
PT2-desert-C4,4,A,Applying the agreed penalty gives what's deserved vs cost-based waiver
PT2-desert-C5,5,A,Starting those who earned it through attendance vs rotation for peace
PT2-mercy-C1,5,B,One-time warning for a confessed offense vs standard penalty
PT2-mercy-C2,5,B,Documented conversation in place of prescribed write-up is leniency
PT2-mercy-C3,5,B,Waiving the penalty for an apologetic long-term partner
PT2-mercy-C4,5,B,Payment plan vs beginning eviction filing is a direct leniency contrast
PT2-mercy-C5,5,B,Forgoing the syllabus penalty is straightforward clemency
PT2-collective_welfare-C1,4,A,Shared server benefits everyone directly; demo room helps indirectly
PT2-collective_welfare-C2,3,B,Slot serving most members vs instructor sustainability which also sustains the group
PT2-collective_welfare-C3,4,A,Forty daily riders vs time savings for the funding few
PT2-collective_welfare-C4,4,A,Whole-staff space vs offices for two key individuals
PT2-collective_welfare-C5,4,A,Three hundred served now vs a dozen with speculative multiplier
PT2-sanctity-C1,4,B,Partying in a former chapel implicates sacredness though deconsecrated
PT2-sanctity-C2,5,B,Cutting up national flags for costumes is a direct desecration contrast
PT2-sanctity-C3,5,A,Taking rubbings from graves treats sacred markers as set dressing
PT2-sanctity-C4,4,B,Mock funeral theme plays with death rites vs neutral masquerade
PT2-sanctity-C5,5,B,Repurposing a baptismal font as a planter directly tests sanctity
PT2-tradition-C1,5,A,Fifty-year fair vs replacing it with an online format
PT2-tradition-C2,5,A,Keeping the customary dinner form vs streamlining it away
PT2-tradition-C3,5,A,The dishes always made together vs catering is a direct tradition contrast
PT2-tradition-C4,5,A,Date held since 1974 vs moving it for weather odds
PT2-tradition-C5,5,A,Handed-down recitation vs replacing it with a fresh talk
